Occ	Fréq	CoFréq	Indice	DistMoy
colonies	395	17	13.8781	0.05882353
donner	1494	15	4.1397	1.8666667
Boulanger	1031	12	4.0157	3.0
affaires	1751	15	3.4097	1.0666667
Europe	1052	10	2.7871	1.4
fut	1437	12	2.7564	1.8333334
reçu	1403	11	2.3712	1.0
Etat	1818	13	2.3664	3.1538463
donné	1343	10	2.0574	1.1
