index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
frlemma,1887-01-01,1887-01-02,1887-01-03,1887-01-04,1887-01-05,1887-01-06,1887-01-07,1887-01-08,1887-01-09,1887-01-10,1887-01-11,1887-01-12,1887-01-13,1887-01-14,1887-01-15,1887-01-16,1887-01-17,1887-01-18,1887-01-19,1887-01-20,1887-01-21,1887-01-22,1887-01-23,1887-01-24,1887-01-25,1887-01-26,1887-01-27,1887-01-28,1887-01-29,1887-01-30,1887-01-31,1887-02-01,1887-02-02,1887-02-03,1887-02-04,1887-02-05,1887-02-06,1887-02-07,1887-02-08,1887-02-09,1887-02-10,1887-02-11,1887-02-12,1887-02-13,1887-02-14,1887-02-15,1887-02-16,1887-02-17,1887-02-18,1887-02-19,1887-02-20,1887-02-21,1887-02-22,1887-02-23,1887-02-24,1887-02-25,1887-02-26,1887-02-27,1887-02-28,1887-03-01,1887-03-02,1887-03-03,1887-03-04,1887-03-05,1887-03-06,1887-03-07,1887-03-08,1887-03-09,1887-03-10,1887-03-11,1887-03-12,1887-03-13,1887-03-14,1887-03-15,1887-03-16,1887-03-17,1887-03-18,1887-03-19,1887-03-20,1887-03-21,1887-03-22,1887-03-23,1887-03-24,1887-03-25,1887-03-26,1887-03-27,1887-03-28,1887-03-29,1887-03-30,1887-03-31,1887-04-01,1887-04-02,1887-04-03,1887-04-04,1887-04-05,1887-04-06,1887-04-07,1887-04-08,1887-04-09,1887-04-10,1887-04-11,1887-04-12,1887-04-13,1887-04-14,1887-04-15,1887-04-16,1887-04-17,1887-04-18,1887-04-19,1887-04-20,1887-04-21,1887-04-22,1887-04-23,1887-04-24,1887-04-25,1887-04-26,1887-04-27,1887-04-28,1887-04-29,1887-04-30,1887-05-01,1887-05-02,1887-05-03,1887-05-04,1887-05-05,1887-05-06,1887-05-07,1887-05-08,1887-05-09,1887-05-10,1887-05-11,1887-05-12,1887-05-13,1887-05-14,1887-05-15,1887-05-16,1887-05-17,1887-05-18,1887-05-19,1887-05-20,1887-05-21,1887-05-22,1887-05-23,1887-05-24,1887-05-25,1887-05-26,1887-05-27,1887-05-28,1887-05-29,1887-05-30,1887-05-31,1887-06-01,1887-06-02,1887-06-03,1887-06-04,1887-06-05,1887-06-06,1887-06-07,1887-06-08,1887-06-09,1887-06-10,1887-06-11,1887-06-12,1887-06-13,1887-06-14,1887-06-15,1887-06-16,1887-06-17,1887-06-18,1887-06-19,1887-06-20,1887-06-21,1887-06-22,1887-06-23,1887-06-24,1887-06-25,1887-06-26,1887-06-27,1887-06-28,1887-06-29,1887-06-30,1887-07-01,1887-07-02,1887-07-03,1887-07-04,1887-07-05,1887-07-06,1887-07-07,1887-07-08,1887-07-09,1887-07-10,1887-07-11,1887-07-12,1887-07-13,1887-07-14,1887-07-15,1887-07-16,1887-07-17,1887-07-18,1887-07-19,1887-07-20,1887-07-21,1887-07-22,1887-07-23,1887-07-24,1887-07-25,1887-07-26,1887-07-27,1887-07-28,1887-07-29,1887-07-30,1887-07-31,1887-08-01,1887-08-02,1887-08-03,1887-08-04,1887-08-05,1887-08-06,1887-08-07,1887-08-08,1887-08-09,1887-08-10,1887-08-11,1887-08-12,1887-08-13,1887-08-14,1887-08-15,1887-08-16,1887-08-17,1887-08-18,1887-08-19,1887-08-20,1887-08-21,1887-08-22,1887-08-23,1887-08-24,1887-08-25,1887-08-26,1887-08-27,1887-08-28,1887-08-29,1887-08-30,1887-08-31,1887-09-01,1887-09-02,1887-09-03,1887-09-04,1887-09-05,1887-09-06,1887-09-07,1887-09-08,1887-09-09,1887-09-10,1887-09-11,1887-09-12,1887-09-13,1887-09-14,1887-09-15,1887-09-16,1887-09-17,1887-09-18,1887-09-19,1887-09-20,1887-09-21,1887-09-22,1887-09-23,1887-09-24,1887-09-25,1887-09-26,1887-09-27,1887-09-28,1887-09-29,1887-09-30,1887-10-01,1887-10-02,1887-10-03,1887-10-04,1887-10-05,1887-10-06,1887-10-07,1887-10-08,1887-10-09,1887-10-10,1887-10-11,1887-10-12,1887-10-13,1887-10-14,1887-10-15,1887-10-16,1887-10-17,1887-10-18,1887-10-19,1887-10-20,1887-10-21,1887-10-22,1887-10-23,1887-10-24,1887-10-25,1887-10-26,1887-10-27,1887-10-28,1887-10-29,1887-10-30,1887-10-31,1887-11-01,1887-11-02,1887-11-03,1887-11-04,1887-11-05,1887-11-06,1887-11-07,1887-11-08,1887-11-09,1887-11-10,1887-11-11,1887-11-12,1887-11-13,1887-11-14,1887-11-15,1887-11-16,1887-11-17,1887-11-18,1887-11-19,1887-11-20,1887-11-21,1887-11-22,1887-11-23,1887-11-24,1887-11-25,1887-11-26,1887-11-27,1887-11-28,1887-11-29,1887-11-30,1887-12-01,1887-12-02,1887-12-03,1887-12-04,1887-12-05,1887-12-06,1887-12-07,1887-12-08,1887-12-09,1887-12-10,1887-12-11,1887-12-12,1887-12-13,1887-12-14,1887-12-15,1887-12-16,1887-12-17,1887-12-18,1887-12-19,1887-12-20,1887-12-21,1887-12-22,1887-12-23,1887-12-24,1887-12-25,1887-12-26,1887-12-27,1887-12-28,1887-12-29,1887-12-30,1887-12-31
Boulanger,0,2,3,1,5,2,2,4,2,10,0,2,7,0,4,1,3,0,6,0,6,6,3,9,16,3,2,4,0,1,0,4,10,3,6,13,1,0,6,2,2,2,6,1,0,1,2,2,1,0,0,1,3,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,1,2,1,1,0,1,7,1,2,3,0,2,10,1,2,1,2,0,0,2,0,0,2,1,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,3,2,0,2,3,1,7,3,0,0,0,1,13,5,6,19,3,2,2,5,6,4,2,7,2,2,5,4,19,5,10,7,0,5,0,0,0,4,0,0,3,2,0,0,2,1,2,2,1,5,0,0,3,2,5,0,9,9,1,1,2,2,0,4,0,11,25,12,41,14,25,6,27,0,27,6,4,0,0,0,8,1,7,2,1,1,4,10,11,8,2,21,20,14,6,4,2,7,4,3,6,0,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,6,0,0,0,2,1,2,1,1,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,5,9,6,12,7,4,25,17,37,11,3,1,0,3,1,0,0,4,0,1,0,0,0,0,2,0,0,0,1,0,0,2,7,1,9,5,2,12,5,1,1,2,3,1,2,1,0,1,1,3,1,1,1,2,1,9,1,1,3,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
