date,Boulanger
1887-07-24,1
1887-07-25,7
1887-07-26,2
1887-07-27,1
1887-07-28,1
1887-07-29,4
1887-07-30,10
1887-07-31,11
1887-08-01,8
1887-08-02,2
1887-08-03,21
1887-08-04,20
1887-08-05,14
1887-08-06,6
1887-08-07,4
1887-08-08,2
1887-08-09,7
1887-08-10,4
1887-08-11,3
1887-08-12,6
1887-08-13,0
1887-08-14,1
1887-08-15,0
1887-08-16,0
1887-08-17,0
1887-08-18,0
1887-08-19,1
1887-08-20,1
1887-08-21,1
1887-08-22,0
1887-08-23,0
1887-08-24,0
1887-08-25,0
1887-08-26,0
1887-08-27,4
1887-08-28,0
1887-08-29,6
1887-08-30,0
1887-08-31,0
1887-09-01,0
1887-09-02,2
1887-09-03,1
1887-09-04,2
1887-09-05,1
1887-09-06,1
1887-09-07,0
1887-09-08,0
1887-09-09,0
1887-09-10,0
1887-09-11,2
1887-09-12,2
1887-09-13,0
1887-09-14,2
1887-09-15,0
1887-09-16,0
1887-09-17,0
1887-09-18,0
1887-09-19,2
1887-09-20,0
1887-09-21,0
1887-09-22,0
1887-09-23,0
1887-09-24,0
1887-09-25,0
1887-09-26,0
1887-09-27,0
1887-09-28,1
1887-09-29,0
1887-09-30,1
1887-10-01,0
1887-10-02,0
1887-10-03,0
1887-10-04,0
1887-10-05,2
1887-10-06,0
1887-10-07,0
1887-10-08,5
1887-10-09,9
1887-10-10,6
1887-10-11,12
1887-10-12,7
1887-10-13,4
1887-10-14,25
1887-10-15,17
1887-10-16,37
1887-10-17,11
1887-10-18,3
1887-10-19,1
1887-10-20,0
1887-10-21,3
1887-10-22,1
1887-10-23,0
1887-10-24,0
1887-10-25,4
1887-10-26,0
1887-10-27,1
1887-10-28,0
1887-10-29,0
1887-10-30,0
1887-10-31,0
1887-11-01,2
1887-11-02,0
1887-11-03,0
1887-11-04,0
1887-11-05,1
1887-11-06,0
1887-11-07,0
1887-11-08,2
1887-11-09,7
1887-11-10,1
1887-11-11,9
1887-11-12,5
1887-11-13,2
1887-11-14,12
1887-11-15,5
1887-11-16,1
1887-11-17,1
1887-11-18,2
1887-11-19,3
1887-11-20,1
1887-11-21,2
1887-11-22,1
1887-11-23,0
1887-11-24,1
1887-11-25,1
1887-11-26,3
1887-11-27,1
1887-11-28,1
1887-11-29,1
1887-11-30,2
1887-12-01,1
1887-12-02,9
1887-12-03,1
1887-12-04,1
1887-12-05,3
1887-12-06,0
1887-12-07,0
1887-12-08,3
1887-12-09,0
1887-12-10,0
1887-12-11,0
1887-12-12,0
1887-12-13,0
1887-12-14,0
1887-12-15,1
1887-12-16,0
1887-12-17,2
1887-12-18,1
1887-12-19,0
1887-12-20,0
1887-12-21,0
1887-12-22,0
1887-12-23,0
1887-12-24,0
1887-12-25,1
1887-12-26,0
1887-12-27,0
1887-12-28,0
1887-12-29,0
1887-12-30,0
1887-12-31,0
