frlemma	F
France	4917
SPÉCIAL	4043
Paris	3823
SERVICE	3439
Russie	2847
Chambre	2648
Allemagne	2450
FIL	1950
Etat	1819
Angleterre	1751
Berlin	1552
CORRESPONDANT	1519
Italie	1435
Londres	1421
J	1254
Bismarck	1187
Prix	1122
Bulgarie	1075
Boulanger	1055
Europe	1055
Autriche	1025
Vienne	988
MATIN	846
Western	781
Jules	774
Sénat	738
Espagne	724
Ferry	715
Grévy	700
Guillaume	626
Français	611
Rome	602
