Occ	Fréq	CoFréq	Indice	DistMoy
dictature	79	17	37.3761	1.4705882
militaire	1260	27	31.0054	0.8888889
Gambetta	238	6	7.8208	2.3333333
Boulanger	1031	8	6.2869	3.0
républicain	911	6	4.4631	2.1666667
général	5213	13	4.2968	2.6923077
peuple	917	5	3.4323	2.2
contre	3712	9	3.0715	1.7777778
jamais	1801	6	2.8935	1.8333334
République	2672	7	2.6926	1.8571428
opinion	1362	5	2.6737	2.2
France	4664	9	2.4107	2.2222223
guerre	3501	7	2.0668	2.142857
