date,Goblet
1887-12-21,0
1887-12-22,0
1887-12-23,0
1887-12-24,0
1887-12-25,2
1887-12-26,0
1887-12-27,0
1887-12-28,0
1887-12-29,0
1887-12-30,0
1887-12-31,0
