date,Grévy
1887-12-21,1
1887-12-22,0
1887-12-23,0
1887-12-24,2
1887-12-25,0
1887-12-26,4
1887-12-27,0
1887-12-28,0
1887-12-29,0
1887-12-30,1
1887-12-31,0
