Occ	Fréq	CoFréq	Indice	DistMoy
général	5213	768	127.0	0.022135416
Vive	316	49	72.7188	0.0
témoins	387	31	37.0691	0.87096775
cris	314	21	23.7183	0.9047619
guerre	3501	42	17.389	0.85714287
ministre	4467	37	10.7005	0.3243243
lettre	1330	20	10.3704	0.9
Ferron	373	12	10.1408	0.5
crier	100	7	8.4957	0.85714287
Boulanger	1031	14	6.9394	0.78571427
Granet	109	6	6.7394	0.33333334
retraite	318	8	6.1689	0.875
savoir	1047	13	6.0619	0.6923077
Ferry	719	10	5.2331	0.3
Déroulède	121	5	5.0947	0.2
