"id","journal","date","annee","pages","format_mm"
lematin_18870417,Le Matin,1887-04-17,1887,2,428x593
lematin_18870418,Le Matin,1887-04-18,1887,2,430x595
lematin_18870419,Le Matin,1887-04-19,1887,2,428x594
lematin_18870420,Le Matin,1887-04-20,1887,2,430x595
lematin_18870421,Le Matin,1887-04-21,1887,2,430x595
lematin_18870422,Le Matin,1887-04-22,1887,2,428x594
lematin_18870423,Le Matin,1887-04-23,1887,2,430x592
lematin_18870424,Le Matin,1887-04-24,1887,2,430x594
lematin_18870425,Le Matin,1887-04-25,1887,2,429x594
lematin_18870426,Le Matin,1887-04-26,1887,2,432x593
lematin_18870427,Le Matin,1887-04-27,1887,2,431x592
lematin_18870428,Le Matin,1887-04-28,1887,2,428x592
lematin_18870429,Le Matin,1887-04-29,1887,2,429x596
lematin_18870430,Le Matin,1887-04-30,1887,2,427x596
lematin_18870501,Le Matin,1887-05-01,1887,2,415x616
lematin_18870502,Le Matin,1887-05-02,1887,2,415x615
lematin_18870503,Le Matin,1887-05-03,1887,2,418x616
lematin_18870504,Le Matin,1887-05-04,1887,2,429x616
lematin_18870505,Le Matin,1887-05-05,1887,2,426x616
lematin_18870506,Le Matin,1887-05-06,1887,2,429x615
lematin_18870507,Le Matin,1887-05-07,1887,2,427x615
lematin_18870508,Le Matin,1887-05-08,1887,2,428x616
lematin_18870509,Le Matin,1887-05-09,1887,2,429x616
lematin_18870510,Le Matin,1887-05-10,1887,2,429x616
lematin_18870511,Le Matin,1887-05-11,1887,2,429x618
lematin_18870512,Le Matin,1887-05-12,1887,2,428x615
lematin_18870513,Le Matin,1887-05-13,1887,2,428x617
lematin_18870514,Le Matin,1887-05-14,1887,2,430x618
lematin_18870515,Le Matin,1887-05-15,1887,2,431x618
lematin_18870516,Le Matin,1887-05-16,1887,2,432x618
lematin_18870517,Le Matin,1887-05-17,1887,2,429x617
lematin_18870518,Le Matin,1887-05-18,1887,2,427x616
lematin_18870519,Le Matin,1887-05-19,1887,2,426x616
lematin_18870520,Le Matin,1887-05-20,1887,2,428x616
lematin_18870521,Le Matin,1887-05-21,1887,2,428x616
lematin_18870522,Le Matin,1887-05-22,1887,2,428x616
lematin_18870523,Le Matin,1887-05-23,1887,2,427x617
lematin_18870524,Le Matin,1887-05-24,1887,2,429x616
lematin_18870525,Le Matin,1887-05-25,1887,2,431x616
lematin_18870526,Le Matin,1887-05-26,1887,2,431x615
lematin_18870527,Le Matin,1887-05-27,1887,2,431x615
lematin_18870528,Le Matin,1887-05-28,1887,2,432x616
lematin_18870529,Le Matin,1887-05-29,1887,2,430x615
lematin_18870530,Le Matin,1887-05-30,1887,2,431x616
lematin_18870531,Le Matin,1887-05-31,1887,2,430x615
lematin_18870601,Le Matin,1887-06-01,1887,2,431x615
lematin_18870602,Le Matin,1887-06-02,1887,2,431x616
lematin_18870603,Le Matin,1887-06-03,1887,2,434x617
lematin_18870604,Le Matin,1887-06-04,1887,2,432x615
lematin_18870605,Le Matin,1887-06-05,1887,2,432x616
lematin_18870606,Le Matin,1887-06-06,1887,2,431x616
lematin_18870607,Le Matin,1887-06-07,1887,2,433x617
lematin_18870608,Le Matin,1887-06-08,1887,2,433x615
lematin_18870609,Le Matin,1887-06-09,1887,2,432x615
lematin_18870610,Le Matin,1887-06-10,1887,2,433x616
lematin_18870611,Le Matin,1887-06-11,1887,2,434x616
lematin_18870612,Le Matin,1887-06-12,1887,2,433x616
lematin_18870613,Le Matin,1887-06-13,1887,2,433x617
lematin_18870614,Le Matin,1887-06-14,1887,2,434x615
